Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0140956979209418,-0.000138179701387094,-0.0992508085792652,0,0,0,3.12256189485822,0.0121294723376015,3.6611140225149E-08,3.39923565764928E-05,0.0177212221964865,-2.45541012870126E-08,0.0270281508517904,0,0,0,0,0,0,package://husky_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/base_link.STL,,Chassis-1,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Hip_Link,0.0166589553386252,0.00297993976212601,2.23624052146376E-05,0,0,0,0.0238624098048875,5.6796289944201E-06,1.6833317677962E-07,1.26241368803341E-09,1.05772260570972E-05,1.87269823782473E-08,8.08421986558341E-06,0,0,0,0,0,0,package://husky_description/meshes/FR_Hip_Link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://husky_description/meshes/FR_Hip_Link.STL,,Hip articulation coupling V4-1,FR_H_F_coor,FR_H_F_axis,FR_H_F,revolute,0.197786147802266,-0.0451303815618817,-0.153554926347478,-0.00751056345262528,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FR_Thigh_Link,0.07823137365753,-0.0340532240073881,0.000803211738448883,0,0,0,0.258099968398277,3.52616698113408E-05,-1.66844768574749E-09,-2.34493663880667E-08,7.68789476455668E-05,2.46856379158353E-09,5.35248327001695E-05,0,0,0,0,0,0,package://husky_description/meshes/FR_Thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FR_Thigh_Link.STL,,Thigh_link-1,FR_H_S_coor,FR_H_S_axis,FR_H_S,revolute,0.0279999999999999,0,0,0.00751056345262547,0,0,FR_Hip_Link,0,-1,0,0,0,0,0,,,,,,,,
FR_Tibia_Link,-0.105065866384467,-0.00461856086308783,-0.06750708146745,0,0,0,0.0539315830575853,2.20271311033782E-05,-8.58128240626144E-07,-2.04918236600125E-05,5.96884344420977E-05,-5.53593329656329E-07,4.07620478941051E-05,0,0,0,0,0,0,package://husky_description/meshes/FR_Tibia_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FR_Tibia_Link.STL,,Tibia_Link-5,FR_T_K_coor,FR_T_K_axis,FR_T_K,revolute,0.149499995520385,0,0,0,0,0,FR_Thigh_Link,0,-1,0,0,0,0,0,,,,,,,,
FR_Foot_Link,0.0498806247417834,-0.0241020272480392,-0.0178185923611135,0,0,0,0.0716006180325176,1.382005094306E-05,-9.04042828615244E-12,1.18194544732016E-05,4.65451923197461E-05,2.55234266488828E-12,4.39714620714958E-05,0,0,0,0,0,0,package://husky_description/meshes/FR_Foot_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FR_Foot_Link.STL,,Foot_Link-1,FR_T_A_coor,FR_T_A_axis,FR_T_A,revolute,-0.27175,0.015102,-0.17399,0,0,0,FR_Tibia_Link,0,-1,0,0,0,0,0,,,,,,,,
FL_Hip_Link,0.0166589553386255,-0.00298002366814985,1.90417676348975E-08,0,0,0,0.0238624098048877,5.67962899442015E-06,-1.68337910434566E-07,1.88703735606119E-12,1.05773667226442E-05,1.69261090017549E-12,8.0840792000366E-06,0,0,0,0,0,0,package://husky_description/meshes/FL_Hip_Link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://husky_description/meshes/FL_Hip_Link.STL,,Hip articulation coupling V4-3,FL_H_F_coor,FL_H_F_axis,FL_H_F,revolute,0.197786147802266,0.0448696184381173,-0.153554926347478,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_Thigh_Link,0.0782313768124775,0.0340532240239729,-0.000802890141886031,0,0,0,0.258099968662267,3.52616696197159E-05,1.66838371626373E-09,2.33742637493808E-08,7.68789477505795E-05,2.46853006266231E-09,5.35248330028541E-05,0,0,0,0,0,0,package://husky_description/meshes/FL_Thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FL_Thigh_Link.STL,,Thigh_link-3,FL_H_S_coor,FL_H_S_axis,FL_H_S,revolute,0.0280000000000001,0,0,0,0,0,FL_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Tibia_Link,-0.105075825587496,0.00461849981637,-0.0674941933434928,0,0,0,0.0539315806550318,2.20288670578511E-05,8.60228126288038E-07,-2.04926155902286E-05,5.96884389491682E-05,5.50328041951635E-07,4.0760318327747E-05,0,0,0,0,0,0,package://husky_description/meshes/FL_Tibia_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FL_Tibia_Link.STL,,Tibia_Link-8,FL_T_K_coor,FL_T_K_axis,FL_T_K,revolute,0.14949999551506,0,0,0,0,0,FL_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Foot_Link,0.0498803256236964,0.0134999946773079,-0.0172232491896995,0,0,0,0.0716006180319317,1.38204596942264E-05,-9.04039577313995E-12,1.18199758164081E-05,4.65451923195016E-05,2.55245075610104E-12,4.39710533199317E-05,0,0,0,0,0,0,package://husky_description/meshes/FL_Foot_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_description/meshes/FL_Foot_Link.STL,,Foot_Link-3,FL_T_A_coor,FL_T_A_axis,FL_T_A,revolute,-0.27175,-0.0045,-0.17458,0,0,0,FL_Tibia_Link,0,-1,0,0,0,0,0,,,,,,,,
RR_Hip_Link,0.0166589553386252,0.00298002366814516,-1.90417685508315E-08,0,0,0,0.0238624098048877,5.67962899442014E-06,1.68337910434561E-07,-1.88703744978195E-12,1.05773667226442E-05,1.69260988328871E-12,8.08407920003659E-06,0,0,0,0,0,0,package://husky_description/meshes/RR_Hip_Link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://husky_description/meshes/RR_Hip_Link.STL,,Hip articulation coupling V4-4,RR_H_F_coor,RR_H_F_axis,RR_H_F,revolute,-0.197113852197734,-0.0451303815618833,-0.153404926347476,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
